fulcrum_id,closed_at,closed_by,created_by,updated_by,created_at,updated_at,number_of_changes,comment,application,application_version,application_build,device_identifier,device_manufacturer,device_model,platform,platform_version,min_lat,max_lat,min_lon,max_lon,geometry,metadata_json
d8082069-a562-460a-93bc-59b5444d85b4,2022-05-20 15:16:30 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 15:16:29 UTC,2022-05-20 15:16:30 UTC,1,,Fulcrum iOS,3.2.2,8459,CE880679-259F-467A-9453-ABD003EA0892,Apple,Unknown Device,iOS,15.4.1,41.64182753,41.64182753,-80.42814959,-80.42814959,"POLYGON ((-80.42814958999 41.64182753, -80.42814959 41.64182752999, -80.42814959001001 41.64182753, -80.42814959 41.64182753001, -80.42814958999 41.64182753))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""CE880679-259F-467A-9453-ABD003EA0892"",""device_model"":""Unknown Device""}"
7ed8419e-635d-4b87-ada3-0f86a7de48a3,2022-05-20 17:01:16 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 17:01:12 UTC,2022-05-20 17:01:16 UTC,1,,Fulcrum iOS,3.2.2,8459,B0DD4668-BB35-4900-ACFB-29B52C4B1A84,Apple,Unknown Device,iOS,15.4.1,41.644500992,41.644500992,-80.430609807,-80.430609807,"POLYGON ((-80.43060980698999 41.644500992, -80.430609807 41.64450099199, -80.43060980701 41.644500992, -80.430609807 41.644500992009995, -80.43060980698999 41.644500992))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""B0DD4668-BB35-4900-ACFB-29B52C4B1A84"",""device_model"":""Unknown Device""}"
0bfa03f1-e27a-49bb-87f4-e28603ce559c,2022-05-20 18:37:41 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 18:37:40 UTC,2022-05-20 18:37:41 UTC,1,,Fulcrum iOS,3.2.2,8459,B0DD4668-BB35-4900-ACFB-29B52C4B1A84,Apple,Unknown Device,iOS,15.4.1,41.641892374,41.641892374,-80.428112916,-80.428112916,"POLYGON ((-80.42811291599 41.641892374, -80.428112916 41.641892373990004, -80.42811291601001 41.641892374, -80.428112916 41.64189237401, -80.42811291599 41.641892374))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""B0DD4668-BB35-4900-ACFB-29B52C4B1A84"",""device_model"":""Unknown Device""}"
d0ccef05-1b8f-4079-ad5f-3f7769090718,2022-05-20 18:38:11 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 18:38:10 UTC,2022-05-20 18:38:11 UTC,1,,Fulcrum iOS,3.2.2,8459,B0DD4668-BB35-4900-ACFB-29B52C4B1A84,Apple,Unknown Device,iOS,15.4.1,41.644500992,41.644500992,-80.430609807,-80.430609807,"POLYGON ((-80.43060980698999 41.644500992, -80.430609807 41.64450099199, -80.43060980701 41.644500992, -80.430609807 41.644500992009995, -80.43060980698999 41.644500992))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""B0DD4668-BB35-4900-ACFB-29B52C4B1A84"",""device_model"":""Unknown Device""}"
e82bb020-7694-4420-864e-284673cc8468,2022-05-20 19:23:11 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-20 19:23:09 UTC,2022-05-20 19:23:11 UTC,2,,Fulcrum iOS,3.2.2,8459,CE880679-259F-467A-9453-ABD003EA0892,Apple,Unknown Device,iOS,15.4.1,41.64182753,41.642080135,-80.42879548,-80.42814959,,"{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""CE880679-259F-467A-9453-ABD003EA0892"",""device_model"":""Unknown Device""}"
bf6e7a2d-8b7b-4829-a597-563aeb9fc372,2022-05-27 12:51:40 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-27 12:51:32 UTC,2022-05-27 12:51:40 UTC,1,,Fulcrum iOS,3.2.2,8459,A119981E-514F-4DB4-9C2B-DE7CD9A5404F,Apple,Unknown Device,iOS,15.5,41.568057281,41.568057281,-80.451648468,-80.451648468,"POLYGON ((-80.45164846799 41.568057281, -80.451648468 41.568057280990004, -80.45164846801 41.568057281, -80.451648468 41.56805728101, -80.45164846799 41.568057281))","{""platform_version"":""15.5"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""A119981E-514F-4DB4-9C2B-DE7CD9A5404F"",""device_model"":""Unknown Device""}"
94203db7-e824-400d-8065-1fd01c80520d,2022-05-27 21:20:29 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-27 21:20:28 UTC,2022-05-27 21:20:29 UTC,1,,Fulcrum iOS,3.2.2,8459,CE880679-259F-467A-9453-ABD003EA0892,Apple,Unknown Device,iOS,15.4.1,41.568142311,41.568142311,-80.451554641,-80.451554641,"POLYGON ((-80.45155464099 41.568142311, -80.451554641 41.568142310990005, -80.45155464101 41.568142311, -80.451554641 41.56814231101, -80.45155464099 41.568142311))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""CE880679-259F-467A-9453-ABD003EA0892"",""device_model"":""Unknown Device""}"
d45eb4f2-66bc-4789-a529-aa5e9d94e6f8,2022-05-27 23:25:39 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-27 23:25:38 UTC,2022-05-27 23:25:39 UTC,1,,Fulcrum iOS,3.2.2,8459,B0DD4668-BB35-4900-ACFB-29B52C4B1A84,Apple,Unknown Device,iOS,15.4.1,41.568218339,41.568218339,-80.451546293,-80.451546293,"POLYGON ((-80.45154629299 41.568218339, -80.451546293 41.56821833899, -80.45154629301001 41.568218339, -80.451546293 41.568218339009995, -80.45154629299 41.568218339))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""B0DD4668-BB35-4900-ACFB-29B52C4B1A84"",""device_model"":""Unknown Device""}"
5ca80c6f-fc84-42a8-aa26-ef25b2c62665,2022-05-28 02:23:16 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-28 02:23:15 UTC,2022-05-28 02:23:16 UTC,1,,Fulcrum iOS,3.2.2,8459,A119981E-514F-4DB4-9C2B-DE7CD9A5404F,Apple,Unknown Device,iOS,15.5,41.568228104,41.568228104,-80.45166892,-80.45166892,"POLYGON ((-80.45166891999 41.568228104, -80.45166892 41.56822810399, -80.45166892001001 41.568228104, -80.45166892 41.56822810401, -80.45166891999 41.568228104))","{""platform_version"":""15.5"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""A119981E-514F-4DB4-9C2B-DE7CD9A5404F"",""device_model"":""Unknown Device""}"
eebcee2b-4430-4680-8a74-b53544b09b0b,2022-05-28 14:23:22 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-28 14:23:20 UTC,2022-05-28 14:23:22 UTC,1,,Fulcrum iOS,3.2.2,8459,B0DD4668-BB35-4900-ACFB-29B52C4B1A84,Apple,Unknown Device,iOS,15.4.1,41.568302703,41.568302703,-80.45148938,-80.45148938,"POLYGON ((-80.45148937999 41.568302703, -80.45148938 41.56830270299, -80.45148938001 41.568302703, -80.45148938 41.56830270301, -80.45148937999 41.568302703))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""B0DD4668-BB35-4900-ACFB-29B52C4B1A84"",""device_model"":""Unknown Device""}"
