fulcrum_id,closed_at,closed_by,created_by,updated_by,created_at,updated_at,number_of_changes,comment,application,application_version,application_build,device_identifier,device_manufacturer,device_model,platform,platform_version,min_lat,max_lat,min_lon,max_lon,geometry,metadata_json
a8e26227-443c-4fde-b667-f7d10f692543,2022-05-28 02:03:44 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-27 12:51:53 UTC,2022-05-28 02:03:44 UTC,1,,Fulcrum iOS,3.2.2,8459,A119981E-514F-4DB4-9C2B-DE7CD9A5404F,Apple,Unknown Device,iOS,15.5,41.568282419,41.568282419,-80.451517208,-80.451517208,"POLYGON ((-80.45151720799 41.568282419, -80.451517208 41.56828241899, -80.45151720801 41.568282419, -80.451517208 41.568282419009996, -80.45151720799 41.568282419))","{""platform_version"":""15.5"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""A119981E-514F-4DB4-9C2B-DE7CD9A5404F"",""device_model"":""Unknown Device""}"
480d3b1f-2d3a-4587-ab52-a381577a033b,2022-05-27 21:20:30 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-27 21:20:29 UTC,2022-05-27 21:20:30 UTC,1,,Fulcrum iOS,3.2.2,8459,CE880679-259F-467A-9453-ABD003EA0892,Apple,Unknown Device,iOS,15.4.1,41.568255366,41.568255366,-80.451600697,-80.451600697,"POLYGON ((-80.45160069699 41.568255366, -80.451600697 41.568255365990005, -80.45160069701001 41.568255366, -80.451600697 41.56825536601, -80.45160069699 41.568255366))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""CE880679-259F-467A-9453-ABD003EA0892"",""device_model"":""Unknown Device""}"
4085dcd6-564f-4f8e-89e0-a0e42a725dd3,2022-05-27 23:25:40 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-27 23:25:40 UTC,2022-05-27 23:25:40 UTC,1,,Fulcrum iOS,3.2.2,8459,B0DD4668-BB35-4900-ACFB-29B52C4B1A84,Apple,Unknown Device,iOS,15.4.1,41.568156984,41.568156984,-80.451828176,-80.451828176,"POLYGON ((-80.45182817599 41.568156984, -80.451828176 41.56815698399, -80.45182817601001 41.568156984, -80.451828176 41.568156984009995, -80.45182817599 41.568156984))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""B0DD4668-BB35-4900-ACFB-29B52C4B1A84"",""device_model"":""Unknown Device""}"
dc1ae290-3cd3-4a20-85f2-702e8015e6d6,2022-05-28 14:23:23 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-28 14:23:22 UTC,2022-05-28 14:23:23 UTC,1,,Fulcrum iOS,3.2.2,8459,B0DD4668-BB35-4900-ACFB-29B52C4B1A84,Apple,Unknown Device,iOS,15.4.1,41.568347043,41.568347043,-80.451363064,-80.451363064,"POLYGON ((-80.45136306399 41.568347043, -80.451363064 41.568347042990005, -80.45136306401001 41.568347043, -80.451363064 41.56834704301, -80.45136306399 41.568347043))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""B0DD4668-BB35-4900-ACFB-29B52C4B1A84"",""device_model"":""Unknown Device""}"
e090669e-7675-49d3-b953-e91fe3c3858c,2022-05-28 14:23:36 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-28 14:23:35 UTC,2022-05-28 14:23:36 UTC,1,,Fulcrum iOS,3.2.2,8459,CE880679-259F-467A-9453-ABD003EA0892,Apple,Unknown Device,iOS,15.4.1,41.568311063,41.568311063,-80.451502367,-80.451502367,"POLYGON ((-80.45150236699 41.568311063, -80.451502367 41.568311062990006, -80.45150236701001 41.568311063, -80.451502367 41.56831106301, -80.45150236699 41.568311063))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""CE880679-259F-467A-9453-ABD003EA0892"",""device_model"":""Unknown Device""}"
f458b28b-f93b-4101-b19c-373114658dcb,2022-05-28 16:28:49 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-28 16:28:48 UTC,2022-05-28 16:28:49 UTC,1,,Fulcrum iOS,3.2.2,8459,B0DD4668-BB35-4900-ACFB-29B52C4B1A84,Apple,Unknown Device,iOS,15.4.1,41.568208071,41.568208071,-80.451451745,-80.451451745,"POLYGON ((-80.45145174499 41.568208071, -80.451451745 41.56820807099, -80.45145174501 41.568208071, -80.451451745 41.56820807101, -80.45145174499 41.568208071))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""B0DD4668-BB35-4900-ACFB-29B52C4B1A84"",""device_model"":""Unknown Device""}"
10dfd94c-3fbb-4f72-a988-044620a370f4,2022-06-03 13:40:10 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-03 13:40:09 UTC,2022-06-03 13:40:10 UTC,1,,Fulcrum iOS,3.2.2,8459,CE880679-259F-467A-9453-ABD003EA0892,Apple,Unknown Device,iOS,15.4.1,41.568282419,41.568282419,-80.451517208,-80.451517208,"POLYGON ((-80.45151720799 41.568282419, -80.451517208 41.56828241899, -80.45151720801 41.568282419, -80.451517208 41.568282419009996, -80.45151720799 41.568282419))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""CE880679-259F-467A-9453-ABD003EA0892"",""device_model"":""Unknown Device""}"
bd354cf6-1c7b-497a-8b95-2009ed942276,2022-06-04 05:20:50 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-04 05:20:49 UTC,2022-06-04 05:20:50 UTC,1,,Fulcrum iOS,3.2.2,8459,CE880679-259F-467A-9453-ABD003EA0892,Apple,Unknown Device,iOS,15.4.1,41.691071963,41.691071963,-80.512612451,-80.512612451,"POLYGON ((-80.51261245098999 41.691071963, -80.512612451 41.69107196299, -80.51261245101 41.691071963, -80.512612451 41.691071963009996, -80.51261245098999 41.691071963))","{""platform_version"":""15.4.1"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""CE880679-259F-467A-9453-ABD003EA0892"",""device_model"":""Unknown Device""}"
9de317aa-e954-4e09-8359-63ce3efada3e,2022-06-04 05:34:46 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-04 05:34:46 UTC,2022-06-04 05:34:46 UTC,1,,Fulcrum iOS,3.2.2,8459,B0DD4668-BB35-4900-ACFB-29B52C4B1A84,Apple,Unknown Device,iOS,15.5,41.690999977,41.690999977,-80.512615414,-80.512615414,"POLYGON ((-80.51261541398999 41.690999977, -80.512615414 41.69099997699, -80.51261541401 41.690999977, -80.512615414 41.690999977009994, -80.51261541398999 41.690999977))","{""platform_version"":""15.5"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""B0DD4668-BB35-4900-ACFB-29B52C4B1A84"",""device_model"":""Unknown Device""}"
4cdd3913-592f-4b32-a635-9c339c4bcc7d,2022-06-04 23:46:19 UTC,bdh64@pitt.edu,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-04 23:46:18 UTC,2022-06-04 23:46:19 UTC,1,,Fulcrum iOS,3.2.2,8459,A119981E-514F-4DB4-9C2B-DE7CD9A5404F,Apple,Unknown Device,iOS,15.5,41.691028308,41.691028308,-80.512737287,-80.512737287,"POLYGON ((-80.51273728698999 41.691028308, -80.512737287 41.69102830799, -80.51273728701 41.691028308, -80.512737287 41.69102830801, -80.51273728698999 41.691028308))","{""platform_version"":""15.5"",""application_version"":""3.2.2"",""platform"":""iOS"",""device_manufacturer"":""Apple"",""application_build"":""8459"",""application"":""Fulcrum iOS"",""device_identifier"":""A119981E-514F-4DB4-9C2B-DE7CD9A5404F"",""device_model"":""Unknown Device""}"
